全国地方公共団体コード,Symbolアドレス,Symbol公開鍵,市区町村名
011002,NAG33VWN6RI4PSR65CQSBQ37NA25C2Q2ZDPGNEQ,17B6C3F90426FAA16203AE5B09E585AC979A0A702F2ABEA17019211EB5CC3899,北海道札幌市
011011,NB7OMAJL5UUI52FI3KINS5PLKY4DLXZ2H3ZIUAQ,DF42DA5405012A6F05C6FA5CEBD529E55F73D52F7369F790D05C51517C615181,北海道札幌市中央区
011029,NCC7BA6SWEMAI7VXJJ2HJWYF2RMRLR3DY4TP4OI,C6732147854FCD43CB635F8D3A7210372E304AB0DFA3B42A757C1A6C9BCE0A1C,北海道札幌市北区
011037,NAXGAXRBDGLJFLZQKF5JSAWTLJD76FNRF6IQD7Y,7E5023D11E56E19FE76622EC629C30E503228B4C7F5B664FF56CD1DDE0102D8C,北海道札幌市東区
011045,NBJZJXVCZEJ25J2VGTYI2SVBC5P4AM7AGU7ZC6A,F0706D4D2544EAA4AAF5D954168CF3A2F1C2B34BB88E96FBF0C536304E93C828,北海道札幌市白石区
011053,NAFGWMCYZE7N3XBKQBIGYN5XUFMBDQULBDFZOQA,00503611DA9953411BDB3A952FE8F9EAF14D9321100FB43FB25D82DCF2476677,北海道札幌市豊平区
011061,NCTKBBQTFUNVI4F5DKR7YIFHMMU6V25NJIBEWRA,5AA6106FFC431FD191A1BCE6FCBA5E503CABC503C278E1927A192814CCDD4E09,北海道札幌市南区
011070,NCDWNBURP63HEAKNFM6CF7W3323R2O3TGWTFBRQ,68383193BAE43F78BAB50762BE25C8CE5282299965BF603984F260503485F0E4,北海道札幌市西区
011088,NAI6EV7QVVOGHOCESMDKTKTK6Z37ZTD6BQW5LRA,388563C9F3C847D959779C1CFD0B06A110AACF22781842C5655879F848820C99,北海道札幌市厚別区
011096,NBT7I2NFFYZCA6MRB7L66IT5DSDWZISMCTZKAZI,041D4790A145269D05CB024BF594BBEF9F4FB189EB2BF9B1ED57886EA9DF7039,北海道札幌市手稲区
011100,NDYOCROLVTI3RYL3UECAK2F72D3TGDAI5UOBPJA,E967DCE32238A39F4FD900D7F36262A992939E6FCC0BCC3C8C0433AEC4671A21,北海道札幌市清田区
012025,ND5H7BDK3JOFDZTZEME2BZAPZEPI2RO4VYDQKGA,9643E8341B43F00293FD0001E4D700DDE88D06B39DA4FDD44899FD5284C55984,北海道函館市
012033,ND2YIKOJ44F4S646K6RIZRYAQBHRUO4IRPMBSSI,115AEA8B6160ECA72C1AD14E6172FEAEE5EDF95585E77CB4B6C23F960C2CF7A5,北海道小樽市
012041,NADVHC5KWAIF4XS7YAOREXDR54VA4NVH36L4KQA,3AC30770B8539DAFF4576D364E92AB0A0CE8769399D587B340ACCBDCD2CFEA5D,北海道旭川市
012050,NCRPGO422NBLCYYZJYFLPOPT6CSPIIY3DANOSOA,8B9AD0D20F8D977057AAADF5E95BF297B6D3BAE3D266D15115D6E6F4C3E539C1,北海道室蘭市
012068,NAOOJTDZYWRD6B5BGGGW2JTFASTMXQ5JKKDBATY,1E6EB7B8897AF1E3E9E095EA90D35E6A51E621B3858E6BAD802439B27040A41B,北海道釧路市
012076,NBIJAPJRZC74HXI54IC34HPBPIWLIOUJFBZMYKQ,00A45FC11BB12DBA10FDAA985ADDFC89740260136D396B1BE2F97EE6F83AE478,北海道帯広市
